annotator,axis,stable_advantaged_family,n_items,raw_prevalence,benchmark_standardized_prevalence
annotator_a,quantitative_symbolic,gemma,14,0.21428571428571427,0.2333333333333333
annotator_a,quantitative_symbolic,llama,7,0.0,0.0
annotator_a,quantitative_symbolic,mistral,60,0.1,0.13356643356643355
annotator_a,quantitative_symbolic,phi,54,0.24074074074074073,0.2258008658008658
annotator_a,quantitative_symbolic,qwen,23,0.13043478260869565,0.2
annotator_a,formal_rule_reasoning,gemma,14,0.35714285714285715,0.5066666666666666
annotator_a,formal_rule_reasoning,llama,7,0.14285714285714285,0.2
annotator_a,formal_rule_reasoning,mistral,60,0.23333333333333334,0.38997668997669
annotator_a,formal_rule_reasoning,phi,54,0.48148148148148145,0.3245021645021645
annotator_a,formal_rule_reasoning,qwen,23,0.30434782608695654,0.3142857142857143
annotator_a,factual_domain_knowledge,gemma,14,0.42857142857142855,0.5666666666666667
annotator_a,factual_domain_knowledge,llama,7,0.42857142857142855,0.4
annotator_a,factual_domain_knowledge,mistral,60,0.5666666666666667,0.4289044289044289
annotator_a,factual_domain_knowledge,phi,54,0.4444444444444444,0.4658874458874459
annotator_a,factual_domain_knowledge,qwen,23,0.2608695652173913,0.42857142857142855
annotator_a,contextual_reading,gemma,14,0.7857142857142857,0.7666666666666666
annotator_a,contextual_reading,llama,7,0.8571428571428571,0.8
annotator_a,contextual_reading,mistral,60,0.5833333333333334,0.6794871794871795
annotator_a,contextual_reading,phi,54,0.6111111111111112,0.6303030303030304
annotator_a,contextual_reading,qwen,23,0.782608695652174,0.7095238095238096
annotator_a,commonsense_narrative,gemma,14,0.5714285714285714,0.4
annotator_a,commonsense_narrative,llama,7,0.42857142857142855,0.4
annotator_a,commonsense_narrative,mistral,60,0.4,0.4
annotator_a,commonsense_narrative,phi,54,0.24074074074074073,0.42727272727272725
annotator_a,commonsense_narrative,qwen,23,0.6086956521739131,0.48571428571428577
annotator_a,spatial_temporal,gemma,14,0.5714285714285714,0.7066666666666667
annotator_a,spatial_temporal,llama,7,0.2857142857142857,0.3
annotator_a,spatial_temporal,mistral,60,0.35,0.38006993006993006
annotator_a,spatial_temporal,phi,54,0.3148148148148148,0.26984848484848484
annotator_a,spatial_temporal,qwen,23,0.21739130434782608,0.3071428571428571
annotator_a,linguistic_wordplay,gemma,14,0.0,0.0
annotator_a,linguistic_wordplay,llama,7,0.0,0.0
annotator_a,linguistic_wordplay,mistral,60,0.0,0.0
annotator_a,linguistic_wordplay,phi,54,0.07407407407407407,0.03636363636363636
annotator_a,linguistic_wordplay,qwen,23,0.0,0.0
annotator_a,negation_exception,gemma,14,0.07142857142857142,0.06666666666666667
annotator_a,negation_exception,llama,7,0.14285714285714285,0.1
annotator_a,negation_exception,mistral,60,0.15,0.25256410256410255
annotator_a,negation_exception,phi,54,0.07407407407407407,0.08409090909090909
annotator_a,negation_exception,qwen,23,0.34782608695652173,0.28809523809523807
annotator_a,code_structured_representation,gemma,14,0.2857142857142857,0.4333333333333333
annotator_a,code_structured_representation,llama,7,0.2857142857142857,0.3
annotator_a,code_structured_representation,mistral,60,0.2833333333333333,0.37004662004662003
annotator_a,code_structured_representation,phi,54,0.37037037037037035,0.33290043290043286
annotator_a,code_structured_representation,qwen,23,0.21739130434782608,0.2785714285714286
annotator_a,distractor_discrimination,gemma,14,0.9285714285714286,0.9
annotator_a,distractor_discrimination,llama,7,0.7142857142857143,0.7
annotator_a,distractor_discrimination,mistral,60,0.85,0.7705128205128207
annotator_a,distractor_discrimination,phi,54,0.8703703703703703,0.8814935064935066
annotator_a,distractor_discrimination,qwen,23,0.8260869565217391,0.8857142857142858
annotator_b,quantitative_symbolic,gemma,14,0.0,0.0
annotator_b,quantitative_symbolic,llama,7,0.0,0.0
annotator_b,quantitative_symbolic,mistral,60,0.06666666666666667,0.10769230769230768
annotator_b,quantitative_symbolic,phi,54,0.18518518518518517,0.1748051948051948
annotator_b,quantitative_symbolic,qwen,23,0.13043478260869565,0.2
annotator_b,formal_rule_reasoning,gemma,14,0.2857142857142857,0.4666666666666666
annotator_b,formal_rule_reasoning,llama,7,0.2857142857142857,0.3
annotator_b,formal_rule_reasoning,mistral,60,0.2,0.3384615384615385
annotator_b,formal_rule_reasoning,phi,54,0.37037037037037035,0.20303030303030303
annotator_b,formal_rule_reasoning,qwen,23,0.2608695652173913,0.24761904761904763
annotator_b,factual_domain_knowledge,gemma,14,0.35714285714285715,0.5
annotator_b,factual_domain_knowledge,llama,7,0.42857142857142855,0.4
annotator_b,factual_domain_knowledge,mistral,60,0.5,0.358974358974359
annotator_b,factual_domain_knowledge,phi,54,0.4074074074074074,0.423982683982684
annotator_b,factual_domain_knowledge,qwen,23,0.21739130434782608,0.32380952380952377
annotator_b,contextual_reading,gemma,14,0.8571428571428571,0.8666666666666668
annotator_b,contextual_reading,llama,7,0.7142857142857143,0.7
annotator_b,contextual_reading,mistral,60,0.6,0.6871794871794872
annotator_b,contextual_reading,phi,54,0.5555555555555556,0.5945454545454545
annotator_b,contextual_reading,qwen,23,0.8260869565217391,0.7761904761904762
annotator_b,commonsense_narrative,gemma,14,0.5714285714285714,0.4
annotator_b,commonsense_narrative,llama,7,0.42857142857142855,0.4
annotator_b,commonsense_narrative,mistral,60,0.38333333333333336,0.38181818181818183
annotator_b,commonsense_narrative,phi,54,0.24074074074074073,0.42727272727272725
annotator_b,commonsense_narrative,qwen,23,0.6086956521739131,0.48571428571428577
annotator_b,spatial_temporal,gemma,14,0.42857142857142855,0.44000000000000006
annotator_b,spatial_temporal,llama,7,0.14285714285714285,0.2
annotator_b,spatial_temporal,mistral,60,0.26666666666666666,0.30244755244755245
annotator_b,spatial_temporal,phi,54,0.2962962962962963,0.16984848484848486
annotator_b,spatial_temporal,qwen,23,0.13043478260869565,0.17857142857142855
annotator_b,linguistic_wordplay,gemma,14,0.0,0.0
annotator_b,linguistic_wordplay,llama,7,0.0,0.0
annotator_b,linguistic_wordplay,mistral,60,0.0,0.0
annotator_b,linguistic_wordplay,phi,54,0.14814814814814814,0.12045454545454545
annotator_b,linguistic_wordplay,qwen,23,0.13043478260869565,0.08571428571428572
annotator_b,negation_exception,gemma,14,0.0,0.0
annotator_b,negation_exception,llama,7,0.14285714285714285,0.1
annotator_b,negation_exception,mistral,60,0.1,0.1371794871794872
annotator_b,negation_exception,phi,54,0.037037037037037035,0.034090909090909095
annotator_b,negation_exception,qwen,23,0.21739130434782608,0.18095238095238092
annotator_b,code_structured_representation,gemma,14,0.14285714285714285,0.16666666666666666
annotator_b,code_structured_representation,llama,7,0.14285714285714285,0.2
annotator_b,code_structured_representation,mistral,60,0.15,0.19393939393939394
annotator_b,code_structured_representation,phi,54,0.12962962962962962,0.2539393939393939
annotator_b,code_structured_representation,qwen,23,0.17391304347826086,0.17857142857142855
annotator_b,distractor_discrimination,gemma,14,0.5714285714285714,0.62
annotator_b,distractor_discrimination,llama,7,0.5714285714285714,0.6
annotator_b,distractor_discrimination,mistral,60,0.65,0.5721445221445222
annotator_b,distractor_discrimination,phi,54,0.5,0.4862987012987013
annotator_b,distractor_discrimination,qwen,23,0.43478260869565216,0.530952380952381
